org.jfree.chart.axis.TickUnit 4780
org.jfree.chart.util.Args 2156
org.jfree.chart.plot.XYPlot 1712
org.jfree.chart.ui.RectangleInsets 1690
org.jfree.data.xy.XYSeries 1312
org.jfree.data.xy.XYSeriesCollection 1198
org.jfree.chart.plot.Plot 1133
org.jfree.chart.axis.ValueAxis 1038
org.jfree.chart.JFreeChart 957
org.jfree.chart.axis.DateTickUnitType 882
org.jfree.data.Range 864
org.jfree.chart.axis.Axis 752
org.jfree.chart.axis.NumberAxis 685
org.jfree.data.xy.XYDataItem 672
org.jfree.chart.renderer.AbstractRenderer 478
org.jfree.chart.event.ChartChangeEvent 426
org.jfree.chart.block.AbstractBlock 370
org.jfree.data.xy.AbstractXYDataset 306
org.jfree.data.general.Series 286
org.jfree.chart.renderer.xy.AbstractXYItemRenderer 272
org.jfree.data.xy.XYBarDataset 249
org.jfree.data.general.DatasetUtils 233
org.jfree.chart.ui.Size2D 225
org.jfree.chart.title.Title 190
org.jfree.data.xy.IntervalXYDelegate 186
org.jfree.chart.axis.NumberTickUnitSource 177
org.jfree.chart.block.BlockBorder 160
org.jfree.chart.util.AbstractObjectList 144
org.jfree.chart.text.TextUtils 137
org.jfree.chart.StandardChartTheme 135
org.jfree.chart.axis.DateTickUnit 132
org.jfree.chart.block.RectangleConstraint 125
org.jfree.chart.LegendItem 125
org.jfree.chart.title.LegendTitle 125
org.jfree.chart.ui.RectangleEdge 124
