Name, TotalOccurances, AlwaysUsed 
org.jfree.data.xy.XYSeriesCollection : getRangeBounds,18,false
org.jfree.data.xy.XYSeries : maxIgnoreNaN,120,true
org.jfree.chart.axis.TickUnit : compareTo,2348,false
org.jfree.chart.XYAreaChartTest : testDrawWithNullInfo,1,false
org.jfree.chart.renderer.AbstractRenderer : getSeriesStroke,2,false
org.jfree.chart.util.StrokeList : getStroke,6,false
org.jfree.chart.plot.Plot : addChangeListener,15,true
org.jfree.chart.JFreeChart : titleChanged,60,true
org.jfree.chart.axis.NumberAxis : createIntegerTickUnits,3,false
org.jfree.chart.plot.XYPlot : integerise,5,true
org.jfree.chart.axis.NumberAxis : estimateMaximumTickLabelHeight,10,true
org.jfree.chart.axis.ValueAxis : findMaximumTickLabelWidth,5,true
org.jfree.chart.block.AbstractBlock : setMargin,15,true
org.jfree.chart.XYStepAreaChartTest$LocalListener : chartChanged,1,false
org.jfree.chart.title.TextTitle : arrange,5,true
org.jfree.chart.LegendItem : setSeriesKey,5,true
org.jfree.chart.plot.Plot : resolveRangeAxisLocation,5,true
org.jfree.data.xy.XYBarDataset : getSeriesCount,31,false
org.jfree.chart.axis.NumberAxis : getAutoRangeIncludesZero,90,true
org.jfree.chart.axis.DateAxis : refreshTicks,1,false
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getSeriesShapesVisible,2,false
org.jfree.chart.block.AbstractBlock : toContentConstraint,20,true
org.jfree.chart.axis.DateAxis : selectAutoTickUnit,1,false
org.jfree.chart.plot.XYPlot : setRenderer,27,false
org.jfree.chart.StandardChartTheme : getDrawingSupplier,15,true
org.jfree.chart.axis.NumberTickUnitSource : getTickSize,54,true
org.jfree.chart.title.Title : setPosition,15,true
org.jfree.chart.block.BlockBorder : getInsets,125,true
org.jfree.chart.util.ShapeList : getShape,6,false
org.jfree.chart.axis.DateTickUnitType : toString,378,false
org.jfree.chart.renderer.AbstractRenderer : setDefaultItemLabelFont,30,true
org.jfree.chart.axis.DateTickUnit : getCalendarField,2,false
org.jfree.chart.renderer.xy.XYAreaRenderer : getLegendItem,1,false
org.jfree.chart.XYStepChartTest : setUp,3,false
org.jfree.chart.plot.Plot : getParent,163,true
org.jfree.chart.renderer.AbstractRenderer : lookupLegendShape,3,false
org.jfree.chart.title.LegendTitle : setItemPaint,15,true
org.jfree.chart.plot.XYPlot : configureDomainAxes,59,true
org.jfree.chart.axis.ValueAxis : getFixedAutoRange,103,true
org.jfree.chart.block.AbstractBlock : trimPadding,35,true
org.jfree.chart.title.LegendTitle : addItemBlock,5,true
org.jfree.chart.title.LegendTitle : createLegendItemBlock,5,true
org.jfree.chart.plot.XYPlot : mapDatasetToRangeAxis,15,true
org.jfree.chart.block.BorderArrangement : arrangeNN,5,true
org.jfree.chart.axis.NumberAxis : getNumberFormatOverride,36,true
org.jfree.chart.plot.XYPlot : getLegendItems,5,true
org.jfree.chart.XYStepChartTest$LocalListener : chartChanged,1,false
org.jfree.chart.JFreeChart : fireChartChanged,15,true
org.jfree.chart.block.RectangleConstraint : getHeight,10,true
org.jfree.chart.plot.Plot : fireChangeEvent,341,true
org.jfree.data.xy.AbstractXYDataset : getXValue,228,true
org.jfree.chart.text.TextLine : calculateBaselineOffset,10,true
org.jfree.chart.JFreeChart : plotChanged,331,true
org.jfree.chart.renderer.AbstractRenderer : addChangeListener,15,true
org.jfree.chart.block.BlockParams : setGenerateEntities,10,true
org.jfree.chart.XYLineChartTest : testReplaceDataset,1,false
org.jfree.chart.ui.RectangleInsets : getBottom,15,true
org.jfree.chart.title.LegendGraphic : setLine,5,true
org.jfree.chart.block.BlockBorder : draw,35,true
org.jfree.chart.renderer.AbstractRenderer : lookupLegendTextFont,5,true
org.jfree.chart.title.LegendTitle : getWrapper,15,true
org.jfree.chart.axis.Axis : notifyListeners,138,true
org.jfree.chart.axis.NumberTickUnit : valueToString,44,true
org.jfree.chart.text.TextUtils : drawRotatedString,10,true
org.jfree.chart.axis.DateAxis : getMinimumDate,1,false
org.jfree.chart.title.LegendGraphic : draw,10,true
