Name, TotalOccurances, AlwaysUsed 
com.floreantpos.Messages$ResourceControl,5,true
com.floreantpos.model.OrderType,28,true
com.floreantpos.model.base.BaseInventoryGroup,4,true
com.floreantpos.swing.POSToggleButtonUI,711,true
com.floreantpos.ui.HeaderPanel$ClockTimerHandler,190,true
com.floreantpos.ui.OrderFilterPanel$OrderTypeFilterButton,3,true
com.floreantpos.model.base.BaseRestaurant,107,true
com.floreantpos.model.base.BasePizzaCrust,4,true
com.floreantpos.model.dao.BaseCookingInstructionDAO,5,true
com.floreantpos.model.dao.BaseMenuGroupDAO,4,true
com.floreantpos.ui.views.order.TicketView$TicketItemSelectionListener,45,true
com.floreantpos.actions.ShutDownAction,2,true
com.floreantpos.ui.views.payment.GroupPaymentView,7,true
com.floreantpos.swing.POSTextField,2,true
com.floreantpos.ui.views.TicketDetailView,4,true
com.floreantpos.actions.ClockInOutAction,3,true
com.floreantpos.model.base.BaseTerminalPrinters,4,true
com.floreantpos.main.PosWindow,91,true
com.floreantpos.ui.dialog.OkCancelOptionDialog$2,2,true
com.floreantpos.ui.dialog.OkCancelOptionDialog$1,9,true
com.floreantpos.model.dao.BaseTerminalDAO,4,true
com.floreantpos.ui.dialog.POSDialog,58,true
com.floreantpos.model.TicketItem,393,true
com.floreantpos.model.base.BaseShopTableType,4,true
com.floreantpos.model.base.BaseUser,760,true
com.floreantpos.customer.CustomerSelector,3,true
com.floreantpos.ui.dialog.PasswordEntryDialog$1,36,true
com.floreantpos.model.base.BaseCustomPayment,4,true
com.floreantpos.ui.views.order.CategoryView,60,true
com.floreantpos.swing.ScrollableFlowPanel,26,true
com.floreantpos.model.base.BaseMenuItem,2426,true
com.floreantpos.util.GlobalIdGenerator,42,true
com.floreantpos.model.Ticket,369,true
com.floreantpos.ui.TicketListView$TaskLastUpdateCheck,27,true
com.floreantpos.model.dao.BaseOrderTypeDAO,10,true
com.floreantpos.model.base.BaseTicket,1107,true
com.floreantpos.bo.ui.explorer.QuickMaintenanceExplorer,5,true
com.floreantpos.model.base.BasePurchaseOrder,4,true
com.floreantpos.ui.views.order.GroupView,17,true
com.floreantpos.ui.views.LoginView,25,true
com.floreantpos.ui.ticket.TicketViewerTableCellRenderer,81,true
com.floreantpos.ui.views.order.OrderView,181,true
com.floreantpos.ui.views.order.TicketSelectionDialog$TicketButton,1,true
com.floreantpos.model.dao.ShopTableDAO,6,true
com.floreantpos.IconFactory,109,true
com.floreantpos.model.TicketItemCookingInstruction,30,true
com.floreantpos.model.base.BaseTicketItem,3268,true
com.floreantpos.model.dao.TicketDAO,103,true
com.floreantpos.ui.views.order.OrderView$2,1,true
com.floreantpos.ui.views.order.OrderView$1,45,true
com.floreantpos.swing.BeanTableModel$BeanColumn,33,true
com.floreantpos.model.dao.BaseDataUpdateInfoDAO,34,true
com.floreantpos.swing.NumericKeypad,4,true
com.floreantpos.swing.ButtonColumn,1,true
com.floreantpos.extension.OrderServiceFactory,2,true
com.floreantpos.model.base.BaseDrawerPullReport,4,true
com.floreantpos.swing.PosBlinkButton,12,true
com.floreantpos.util.CurrencyUtil,17,true
com.floreantpos.model.base.BaseTicketItemCookingInstruction,84,true
com.floreantpos.util.JarUtil,1,true
com.floreantpos.model.base.BaseMenuModifierGroup,4,true
com.floreantpos.model.VirtualPrinter,16,true
com.floreantpos.ui.views.order.TicketView,148,true
com.floreantpos.swing.NumericKeypad$1,3,true
com.floreantpos.model.Terminal,10,true
com.floreantpos.ui.views.order.GroupView$GroupButton,2,true
com.floreantpos.util.DiscountUtil,62,true
com.floreantpos.actions.ClockInOutAction$2,1,true
com.floreantpos.ui.views.SwitchboardView$2,2,true
com.floreantpos.model.base.BaseDiscount,4,true
com.floreantpos.model.base.BasePrinterGroup,4,true
com.floreantpos.ui.views.order.SelectionView,220,true
com.floreantpos.model.dao._RootDAO,34,true
com.floreantpos.util.GlobalConfigUtil,1,true
com.floreantpos.model.base.BaseMenuItemShift,4,true
com.floreantpos.model.PaymentStatusFilter,67,true
com.floreantpos.demo.KitchenTicketView,6,true
com.floreantpos.model.base.BasePizzaModifierPrice,4,true
com.floreantpos.actions.LogoutAction,1,true
com.floreantpos.model.dao.BaseTerminalPrintersDAO,18,true
com.floreantpos.report.ReportUtil,3,true
com.floreantpos.model.base.BaseMenuModifier,4,true
com.floreantpos.config.CardConfig,1,true
com.floreantpos.model.dao.BaseActionHistoryDAO,6,true
com.floreantpos.swing.PosButton,2937,true
com.floreantpos.model.MenuCategory,94,true
com.floreantpos.actions.ViewChangeAction,19,true
com.floreantpos.model.base.BaseInventoryUnit,4,true
com.floreantpos.ui.ticket.MultiLineTableCellRenderer$MyEditorKit,52,true
com.floreantpos.model.base.BasePayoutRecepient,4,true
com.floreantpos.ui.ticket.MultiLineTableCellRenderer$CenteredBoxView,32,true
com.floreantpos.model.dao.BaseShopTableDAO,2,true
com.floreantpos.ui.views.payment.GroupPaymentView$2,1,true
com.floreantpos.model.base.BaseTax,162,true
com.floreantpos.model.base.BaseGratuity,4,true
com.floreantpos.ui.views.order.DefaultOrderServiceExtension,2,true
com.floreantpos.model.base.BaseGlobalConfig,4,true
com.floreantpos.model.dao.BaseTicketDAO,29,true
com.floreantpos.ui.views.CookingInstructionSelectionView$CookingInstructionTableModel,43,true
com.floreantpos.model.dao.UserDAO,4,true
com.floreantpos.ui.dialog.TransactionCompletionDialog,21,true
com.floreantpos.swing.TimerWatch,14,true
com.floreantpos.model.dao.OrderTypeDAO,8,true
com.floreantpos.ui.OrderFilterPanel,16,true
com.floreantpos.model.dao.AttendenceHistoryDAO,1,true
com.floreantpos.config.TerminalConfig,192,true
com.floreantpos.config.AppProperties,1,true
com.floreantpos.model.base.BasePizzaPrice,4,true
com.floreantpos.swing.PosUIManager,3203,true
com.floreantpos.model.User,75,true
com.floreantpos.model.dao.GenericDAO,4,true
com.floreantpos.model.dao.BaseUserDAO,17,true
com.floreantpos.PosLog,1,true
com.floreantpos.model.base.BaseMenuItemSize,4,true
com.floreantpos.model.dao.DataUpdateInfoDAO,30,true
com.floreantpos.model.base.BaseInventoryLocation,4,true
com.floreantpos.main.Application,1276,true
com.floreantpos.extension.InginicoPlugin,5,true
com.floreantpos.util.NumberUtil,334,true
com.floreantpos.swing.ListTableModel,421,true
com.floreantpos.model.KitchenTicket,12,true
com.floreantpos.model.base.BaseTicketItemDiscount,4,true
com.floreantpos.ui.TicketListView,125,true
com.floreantpos.services.PosTransactionService,4,true
com.floreantpos.ui.views.LoginView$3,1,true
com.floreantpos.model.base.BaseTicketDiscount,4,true
com.floreantpos.model.dao.RestaurantDAO,3,true
com.floreantpos.model.base.BasePrinterConfiguration,1,true
com.floreantpos.ui.views.LoginView$6,1,true
com.floreantpos.ui.views.order.OrderView$11,1,true
com.floreantpos.model.base.BaseInventoryMetaCode,4,true
com.floreantpos.ui.dialog.OkCancelOptionDialog,36,true
com.floreantpos.model.dao.BaseMenuCategoryDAO,2,true
com.floreantpos.main.Main,1,true
com.floreantpos.swing.POSToggleButton,801,true
com.floreantpos.swing.ScrollableFlowPanel$ScrollableFlowLayout,11,true
com.floreantpos.config.AppConfig,43,true
com.floreantpos.model.base.BaseMenuItemModifierGroup,4,true
com.floreantpos.model.dao._BaseRootDAO,1254,true
com.floreantpos.util.ShiftUtil,6,true
com.floreantpos.model.base.BaseCashDrawer,4,true
com.floreantpos.model.dao.BaseGlobalConfigDAO,5,true
com.floreantpos.demo.KitchenTicketStatusSelector,1,true
com.floreantpos.model.base.BaseKitchenTicketItem,43,true
com.floreantpos.model.base.BaseVirtualPrinter,34,true
com.floreantpos.model.base.BaseCookingInstruction,4,true
com.floreantpos.model.base.BaseShopFloor,4,true
com.floreantpos.model.dao.BaseMenuItemDAO,72,true
com.floreantpos.util.DrawerUtil,11,true
com.floreantpos.demo.KitchenTicketListPanel,9,true
com.floreantpos.model.base.BaseTerminal,431,true
com.floreantpos.ui.OrderFilterPanel$1,4,true
com.floreantpos.customer.DefaultCustomerListView$10,1,true
com.floreantpos.model.base.BaseAttendenceHistory,36,true
com.floreantpos.ui.PosTableRenderer,134,true
com.floreantpos.swing.PaginatedTableModel,101,true
com.floreantpos.actions.PosAction,5,true
